Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Dirty Deeds Done Dirt Cheap,0.28286390968361014,1.2643257002831028,11.0,0.5921633038128389,0.17,0.214,0.00245,0.135,0.507,0.5085132845960754,231933.0
Shoot to Thrill,-0.9918431542918941,1.2549551184224559,2.0,0.5007715523334776,0.0747,0.000239,0.0879,0.396,0.48,0.6905155977150758,317427.0
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),-0.9978844199979391,1.0628581902791965,3.0,0.8801989186648542,0.0894,0.133,0.0538,0.0553,0.532,0.5189568713655778,301227.0
Rock N Roll Train,-0.44812924074784005,1.3814579735411878,2.0,1.138997835768733,0.0615,0.000998,0.0118,0.278,0.697,-0.07460387570886426,261507.0
I Gotta Feeling,0.7420001033430331,0.6083849700378269,0.0,0.2686105154001238,0.0265,0.0873,0.0,0.509,0.61,0.2487079399450539,289133.0
DON'T YOU WORRY,1.2675902197689517,1.0862846449308134,11.0,0.5053194830942989,0.0325,0.176,0.0,0.184,0.483,0.38406899176336323,194438.0
Where Is The Love?,1.2857140168870869,0.294470477706159,5.0,0.9514498339177213,0.178,0.111,0.0,0.131,0.809,-0.8963688230023389,272533.0
Just Can’t Get Enough,0.2284925183292047,-0.038185178346802115,0.0,-0.23166186829021884,0.179,0.186,0.0,0.105,0.262,-0.8975855515580091,219427.0
GIRL LIKE ME,2.0771198243789875,-0.7081817813830482,2.0,-0.2531021133055193,0.191,0.0206,0.0237,0.0655,0.312,0.11550996111460343,222523.0
Pump It,0.1680798612687542,1.3814579735411878,1.0,0.9670427393833941,0.181,0.0093,0.0,0.751,0.744,1.1166071783076903,213067.0
Pump It Louder,0.23453378403524974,1.4329961737747448,4.0,1.1569729906805504,0.185,0.00789,1.76e-05,0.834,0.543,0.18283560786168712,158571.0
Meet Me Halfway,1.0682284514694658,-0.03349988741647871,11.0,0.16422467603270166,0.0735,0.00474,2.29e-05,0.324,0.4,0.3175206993712909,284373.0
RITMO (Bad Boys For Life),0.6695049148704926,0.3741204235216568,10.0,0.14018561343978914,0.0561,0.0295,0.000758,0.73,0.666,-0.5243540671061772,214855.0
SIMPLY THE BEST,1.5152821137167987,0.7161466614352652,1.0,0.33964486252152315,0.132,0.203,2.39e-05,0.125,0.646,0.1836805582475694,236190.0
Billie Jean,1.8777580560795015,-0.8393699274321031,11.0,-0.4341530712125001,0.0541,0.0173,0.0436,0.0414,0.884,-0.12185350128739045,294227.0
Chicago,-0.07961203267909275,0.5615320607345929,7.0,1.0699126018305427,0.176,0.0784,0.0,0.187,0.55,1.8750684426908795,245507.0
Beat It,0.9353206059364747,0.3506939688700398,3.0,-0.30637787364656843,0.0473,0.0242,0.000353,0.234,0.901,0.6124421820595716,258400.0
Smooth Criminal - 2012 Remaster,1.4004980653019428,1.6157225200573575,8.0,0.7944379386036526,0.0751,0.247,0.468,0.306,0.595,-0.08160006490396814,257760.0
Rock with You - Single Version,1.1286411085299162,-0.47391723486687803,1.0,-1.0624172206002422,0.0353,0.179,9.91e-05,0.158,0.848,-0.22226740514561633,220627.0
Don't Stop 'Til You Get Enough,1.551529707953069,0.8660759712056135,11.0,-0.48937794473675883,0.089,0.126,0.0461,0.183,0.947,-0.058347030284493256,365467.0
They Don't Care About Us,1.436745659538213,1.2596404093527793,0.0,0.449661473307105,0.129,0.205,0.00837,0.322,0.731,-1.0362926069044112,284160.0
Remember the Time,1.2675902197689517,1.3346050642379539,5.0,1.1331504962191055,0.0582,0.153,0.00224,0.305,0.795,-0.4260356402049388,239227.0
The Way You Make Me Feel - 2012 Remaster,1.5454884422470239,1.0206905719062858,1.0,0.6696946948782686,0.147,0.0544,5.5e-05,0.144,0.54,-0.20736248033865684,298120.0
Love Never Felt So Good,0.9292793402304296,0.388176296312627,7.0,0.30391112082935584,0.0435,0.132,1.79e-06,0.0662,0.712,-0.10458271539996043,246027.0
Just Give Me a Reason (feat. Nate Ruess),0.9474031373485647,-0.4176937437029972,2.0,0.07413233334214657,0.0489,0.346,0.000302,0.132,0.441,-0.8654098408636197,242733.0
Never Gonna Not Dance Again,0.28286390968361014,0.7770554435294694,5.0,0.7818769869785273,0.0917,0.0273,0.0,0.163,0.769,-0.23020993877290785,225789.0
Raise Your Glass,0.476184412277051,0.34132338700939296,7.0,0.5650922873793788,0.0838,0.0048,0.0,0.029,0.624,0.04771114215142543,202960.0
Try,0.3191115039198804,-0.038185178346802115,2.0,0.11614655084687663,0.03,0.00144,0.0,0.0944,0.552,-0.5613628940078121,247907.0
So What,-0.5266656949264257,1.0956552267914603,11.0,0.9826356448490674,0.0425,0.000334,0.0,0.241,0.462,0.18290320389255801,215160.0
What About Us,-0.7864401202863627,-0.2255968155597382,1.0,0.3114910054307247,0.0506,0.0281,2.01e-06,0.0906,0.193,-0.23656396567474117,269600.0
Cover Me In Sunshine,-0.8951829029951736,-0.20685565183844462,5.0,0.16379153976976635,0.138,0.0528,0.0,0.131,0.292,1.321254161768329,138573.0
TRUSTFALL,0.08954340709016859,1.1799904635372815,8.0,0.8069988902287782,0.0945,0.00162,0.000216,0.147,0.25,0.04815051635208381,237200.0
Who Knew,0.40368922380451044,0.458455660267478,9.0,0.6597325608307553,0.0274,0.00462,0.0,0.0756,0.46,0.6555684497549923,208493.0
True Love (feat. Lily Allen),-0.9918431542918941,0.8754465530662604,9.0,0.6183680477204283,0.311,0.00144,0.0,0.108,0.578,2.4198586534922084,230733.0
Mockingbird,0.09558467279621363,0.19607936816936802,0.0,0.8267065901923372,0.266,0.209,0.0,0.156,0.254,-1.2359374840806285,250760.0
Without Me,1.7327676791344204,0.1539117497964574,7.0,1.0369942458474553,0.0738,0.00286,0.0,0.237,0.662,-0.2828672468210792,290320.0
The Real Slim Shady,1.9804595730822667,0.11642942235387017,5.0,0.7301172035577516,0.0572,0.0302,0.0,0.0454,0.76,-0.5442610981975589,284200.0
