Artist,Stream,Views,Likes,Comments,Licensed,official_video
2Pac,375955728.0,585712131.0,4363164.0,208460.0,False,False
2Pac,578493150.0,89682.0,1301.0,41.0,False,False
2Pac,497213287.0,84654029.0,484619.0,12875.0,False,False
2Pac,428728611.0,14035099.0,64269.0,1918.0,False,True
2Pac,213745248.0,1276815.0,24831.0,820.0,False,False
2Pac,411056377.0,306542.0,4350.0,305.0,False,False
2Pac,243928109.0,381061439.0,3225481.0,134343.0,True,True
2Pac,211103197.0,5434057.0,58781.0,2136.0,False,False
2Pac,178709066.0,18949722.0,251281.0,6109.0,False,True
2Pac,117899041.0,1002891.0,13416.0,814.0,False,False
Snoop Dogg,172373567.0,48725891.0,2843117.0,200546.0,True,True
Snoop Dogg,1138123751.0,726601997.0,5635352.0,149004.0,False,True
Snoop Dogg,466458137.0,242845147.0,1854617.0,50520.0,True,True
Snoop Dogg,248359900.0,14272788.0,175218.0,3211.0,False,True
Snoop Dogg,46192225.0,70515275.0,2308329.0,97470.0,True,True
Snoop Dogg,222949118.0,237582702.0,1010443.0,39623.0,True,True
Snoop Dogg,202521145.0,202432469.0,1231331.0,27893.0,True,True
Snoop Dogg,82111629.0,31364.0,373.0,6.0,False,False
Snoop Dogg,124225906.0,84170696.0,1245805.0,51496.0,True,True
Lil Wayne,433564491.0,475532733.0,2941752.0,113424.0,True,True
Lil Wayne,1004661276.0,788318126.0,6142541.0,142101.0,True,True
Lil Wayne,417139141.0,764982505.0,4833883.0,288946.0,True,True
Lil Wayne,461843097.0,351589402.0,2019702.0,183018.0,True,True
Lil Wayne,404959319.0,180051134.0,1119672.0,88673.0,True,True
Lil Wayne,387665450.0,524707468.0,2641825.0,97534.0,True,True
Lil Wayne,432215037.0,11856519.0,192622.0,4934.0,True,True
Lil Wayne,205327632.0,7163.0,256.0,8.0,False,False
Lil Wayne,62736773.0,19671055.0,273280.0,13598.0,True,True
Lil Wayne,238468772.0,46104250.0,370102.0,1649.0,True,True
Sia,644668215.0,215540369.0,4266217.0,67110.0,True,True
Sia,731776557.0,151276432.0,1964768.0,31983.0,True,True
Sia,1404231856.0,2581536372.0,12476394.0,577131.0,True,True
Sia,1378235205.0,1953769806.0,14149628.0,396631.0,True,True
Sia,1538447140.0,1788225602.0,8821956.0,193866.0,True,True
Sia,411692294.0,331492365.0,3990442.0,81179.0,True,True
Sia,733035056.0,1261263786.0,5191365.0,295936.0,True,True
Sia,34819346.0,1298279.0,32710.0,1226.0,True,True
Sia,300286185.0,106746356.0,988318.0,29233.0,True,True
Sia,191151662.0,50685969.0,494298.0,22853.0,True,True
Fleetwood Mac,1145814659.0,41698012.0,476988.0,18380.0,True,True
Fleetwood Mac,800258505.0,63168341.0,618971.0,1942.0,True,True
Fleetwood Mac,615384523.0,53248522.0,342799.0,12135.0,True,True
Fleetwood Mac,732367244.0,5109177.0,44832.0,2039.0,True,True
Fleetwood Mac,512338633.0,76081765.0,451100.0,24275.0,True,True
Fleetwood Mac,252302426.0,5410145.0,42737.0,1411.0,True,True
Fleetwood Mac,298619427.0,49292398.0,385402.0,15325.0,True,True
Fleetwood Mac,302893047.0,8490005.0,61004.0,3698.0,True,True
Fleetwood Mac,213673856.0,81512369.0,436530.0,17764.0,True,True
Fleetwood Mac,189357854.0,2246595.0,23628.0,43.0,True,True
ABBA,877774503.0,679721429.0,3253260.0,125468.0,True,True
ABBA,519184335.0,361288115.0,3156029.0,67741.0,True,True
ABBA,375576936.0,272724820.0,1324658.0,38708.0,True,True
ABBA,135342126.0,7540645.0,51162.0,2172.0,False,False
ABBA,295039369.0,115380254.0,512491.0,22130.0,True,True
ABBA,250065301.0,142034489.0,512716.0,25315.0,True,True
ABBA,252601051.0,2968673.0,39389.0,798.0,False,False
ABBA,222521002.0,77339439.0,368779.0,14431.0,True,True
ABBA,210743145.0,219881780.0,1203620.0,48127.0,True,True
ABBA,208513838.0,90572907.0,375323.0,15600.0,True,True
Frank Sinatra,471405587.0,13683856.0,144902.0,2105.0,True,True
Frank Sinatra,126469786.0,6422826.0,94812.0,3321.0,True,True
Frank Sinatra,177473609.0,15255986.0,286935.0,4977.0,True,True
Frank Sinatra,329370178.0,40356494.0,323576.0,12901.0,True,True
Frank Sinatra,182673374.0,420791.0,5476.0,190.0,False,False
Frank Sinatra,88041370.0,1679701.0,23726.0,533.0,False,False
Frank Sinatra,506872698.0,135669950.0,1746670.0,20771.0,True,True
Frank Sinatra,143712745.0,14266051.0,131664.0,3857.0,True,True
Frank Sinatra,212972149.0,45558716.0,271523.0,15163.0,False,False
Frank Sinatra,42053170.0,43026.0,932.0,27.0,True,True
Tiësto,107996524.0,12850997.0,137385.0,2405.0,True,True
Tiësto,547871739.0,124255684.0,980422.0,16264.0,True,True
Tiësto,481307838.0,329901294.0,2401650.0,39197.0,True,True
Tiësto,18374300.0,2192535.0,28849.0,602.0,True,True
Tiësto,980693352.0,236818708.0,1836947.0,26791.0,True,True
Tiësto,117679131.0,5891427.0,96134.0,2236.0,True,True
Tiësto,27908495.0,2099152.0,61252.0,1238.0,True,True
Tiësto,38610617.0,2182357.0,31412.0,416.0,False,True
Tiësto,32419330.0,2087256.0,32315.0,693.0,True,True
Tiësto,782756255.0,52275235.0,520812.0,11774.0,True,True
Elton John,1357658479.0,396909270.0,2532714.0,46017.0,True,True
Elton John,649281620.0,170453554.0,1658219.0,37642.0,True,True
Elton John,190102352.0,15181510.0,165237.0,6585.0,True,True
Elton John,828968108.0,129299713.0,960562.0,25910.0,True,True
Elton John,654292280.0,1591571.0,22237.0,1137.0,False,False
Elton John,562468940.0,87086359.0,638960.0,15221.0,True,True
Elton John,606925181.0,155579484.0,650110.0,18268.0,True,True
Elton John,236457156.0,19096844.0,47486.0,2114.0,True,True
Elton John,242563343.0,17035966.0,209965.0,571.0,True,True
Elton John,133344222.0,57457813.0,809894.0,26363.0,True,True
JAY-Z,1054470731.0,374189685.0,2521768.0,103200.0,True,True
JAY-Z,678424384.0,95231588.0,833985.0,11631.0,True,True
JAY-Z,778880225.0,47752493.0,219401.0,4024.0,False,False
JAY-Z,296375103.0,17001975.0,138161.0,5585.0,False,False
JAY-Z,293182456.0,106953199.0,826069.0,53502.0,True,True
JAY-Z,73726722.0,25189646.0,272421.0,11734.0,True,True
JAY-Z,115228530.0,22824654.0,278099.0,5625.0,True,True
JAY-Z,170592836.0,224971063.0,1192658.0,94999.0,True,True
JAY-Z,128273029.0,681129.0,6477.0,291.0,False,False
JAY-Z,114490460.0,7101653.0,51843.0,1182.0,False,False
21 Savage,279832635.0,17011354.0,325993.0,5530.0,True,True
21 Savage,311694937.0,3926832.0,54749.0,2569.0,False,False
21 Savage,413205085.0,12454143.0,461647.0,14487.0,False,True
21 Savage,81603704.0,5384334.0,96598.0,1286.0,True,True
21 Savage,119787835.0,24885008.0,487517.0,9641.0,False,True
21 Savage,182739405.0,24885008.0,487517.0,9641.0,False,True
21 Savage,100595022.0,213119.0,3427.0,120.0,False,False
21 Savage,107919519.0,7706203.0,102385.0,2065.0,True,True
21 Savage,87618118.0,1111996.0,8576.0,154.0,False,False
21 Savage,501420741.0,74244853.0,796542.0,26241.0,True,True
Kanye West,578115634.0,105206228.0,1105989.0,129255.0,True,True
Kanye West,720756420.0,200458945.0,1310078.0,63150.0,True,True
Kanye West,543286408.0,123256878.0,959510.0,35828.0,True,True
Kanye West,1054470731.0,374189685.0,2521768.0,103200.0,True,True
Kanye West,627167330.0,47207589.0,587832.0,6406.0,True,True
Kanye West,1123296395.0,432609094.0,2878369.0,156021.0,True,True
Kanye West,302891517.0,13652003.0,161439.0,692.0,True,True
Kanye West,335460654.0,343239.0,10149.0,398.0,False,False
Kanye West,379099876.0,101552405.0,540229.0,25030.0,True,True
Kanye West,853381478.0,323806093.0,1797312.0,71502.0,True,True
Luis Miguel,473691093.0,562212517.0,2366696.0,61907.0,True,True
Luis Miguel,392257514.0,157325196.0,604843.0,20964.0,True,True
Luis Miguel,303652374.0,1006758.0,13068.0,1056.0,False,False
Luis Miguel,229810217.0,130543675.0,344687.0,11739.0,True,True
Luis Miguel,268107480.0,375491.0,4708.0,234.0,False,False
Luis Miguel,235730264.0,117161559.0,372824.0,11354.0,True,True
Luis Miguel,189533009.0,47486131.0,183468.0,7981.0,True,True
Luis Miguel,172275945.0,140665690.0,411448.0,15387.0,True,True
Luis Miguel,106123325.0,207911622.0,556658.0,24537.0,True,True
Luis Miguel,127896578.0,9656892.0,62146.0,758.0,True,True
Beyoncé,354986175.0,8893257.0,135456.0,2986.0,False,False
Beyoncé,836260550.0,669084413.0,3218858.0,66334.0,True,True
Beyoncé,116409094.0,15896207.0,226588.0,7996.0,True,True
Beyoncé,276384322.0,1230431.0,15962.0,860.0,False,False
Beyoncé,1257746758.0,1357273902.0,6931695.0,203892.0,True,True
Beyoncé,524847088.0,514532529.0,2260106.0,93092.0,True,True
Beyoncé,71933137.0,5840552.0,72908.0,3391.0,True,True
Beyoncé,739180747.0,231580933.0,1998224.0,70570.0,True,True
Beyoncé,520085958.0,687031207.0,2906283.0,129479.0,True,True
Beyoncé,480726300.0,554929045.0,2987341.0,238912.0,True,True
Daddy Yankee,42618413.0,9058435.0,227824.0,3837.0,False,True
Daddy Yankee,664205050.0,10845.0,118.0,1.0,False,False
Daddy Yankee,536817412.0,23852149.0,380311.0,7976.0,False,False
Daddy Yankee,295869713.0,87084154.0,884924.0,16214.0,False,True
Daddy Yankee,315104207.0,1559861.0,20775.0,238.0,False,False
Daddy Yankee,1506598267.0,8079646911.0,50788626.0,4252791.0,True,True
Daddy Yankee,1170562263.0,2626439287.0,13036596.0,384865.0,False,True
Daddy Yankee,203988701.0,39763039.0,135919.0,4338.0,False,False
Daddy Yankee,201700378.0,864990.0,10360.0,193.0,False,False
Don Toliver,49105411.0,904204.0,11866.0,131.0,True,True
Don Toliver,682479132.0,284033349.0,3473758.0,55136.0,True,True
Don Toliver,560791223.0,78483083.0,1082398.0,22200.0,True,True
Don Toliver,1142825569.0,188678850.0,2671691.0,66140.0,False,False
Don Toliver,15859788.0,8818478.0,127447.0,24904.0,True,True
Don Toliver,171091255.0,24139842.0,343353.0,6184.0,True,True
Don Toliver,92010224.0,30608215.0,567407.0,30951.0,True,True
Don Toliver,141369736.0,31440593.0,542757.0,10632.0,True,True
Don Toliver,77395440.0,19221097.0,390046.0,7678.0,True,True
Don Toliver,50148408.0,712131.0,13233.0,505.0,False,False
Camilo,266678074.0,166098054.0,1014895.0,14047.0,True,True
Camilo,665804353.0,902197206.0,3044369.0,62305.0,True,True
