track,artist,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,stream,views,likes,comments,tiktok_views,tiktok_posts,release_date,tiktok_likes
ay! (feat. lil wayne),machine gun kelly,mainstream sellout,0.742,0.617,2.0,-6.689,0.0345,0.05,5.92e-05,0.0711,0.491,147.002,124.188,62736773.0,19671018.0,273280.0,13598.0,,,,
el perdã³n (with enrique iglesias),nicky jam,fã©nix,0.628,0.69,8.0,-5.83,0.0511,0.443,0.0,0.113,0.66,179.908,205.907,765561212.0,1381668642.0,4089045.0,96876.0,,,,
bella y sensual,nicky jam,golden,0.635,0.713,11.0,-6.909,0.0937,0.228,0.0,0.0506,0.749,179.864,204.701,418186764.0,736730327.0,2634233.0,56053.0,,,,
"nicky jam: bzrp music sessions, vol. 41",nicky jam,"nicky jam: bzrp music sessions, vol. 41",0.627,0.849,1.0,-3.167,0.153,0.0913,0.0,0.145,0.818,89.907,158.087,185931694.0,592005.0,6740.0,96.0,,,,
cuaderno,nicky jam,climaxxx,0.681,0.648,1.0,-5.021,0.38,0.523,0.0,0.104,0.688,172.02,286.507,350576786.0,321420163.0,1811446.0,31069.0,,,,
en la cama (feat. daddy yankee),nicky jam,exitos,0.855,0.912,10.0,-4.832,0.145,0.183,0.0,0.122,0.885,104.072,157.023,136025763.0,115543124.0,748538.0,14194.0,,,,
si te preguntan...,nicky jam,si te preguntan...,0.76,0.803,8.0,-2.867,0.0306,0.531,0.0,0.0555,0.922,136.945,223.074,37382738.0,61711565.0,435031.0,5375.0,,,,
color esperanza 2020,nicky jam,color esperanza 2020,0.591,0.785,9.0,-7.768,0.161,0.161,0.0,0.126,0.785,106.002,217.547,89466323.0,24706293.0,557112.0,17598.0,,,,
donde estan las gatas,nicky jam,gargolas 3,0.827,0.788,7.0,-11.937,0.0831,0.246,0.0,0.0764,0.815,109.933,170.005,126333112.0,162725.0,2340.0,62.0,,,,
here comes the sun - remastered 2009,the beatles,abbey road (remastered),0.557,0.54,9.0,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,185.733,942898131.0,114971785.0,1126554.0,32910.0,,,,
let it be - remastered 2009,the beatles,let it be (remastered),0.443,0.403,0.0,-8.339,0.0322,0.631,0.0,0.111,0.41,143.462,243.027,526788025.0,131925109.0,1075941.0,15452.0,,,,
come together - remastered 2009,the beatles,abbey road (remastered),0.533,0.376,9.0,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,259.947,574936342.0,31607772.0,383619.0,3211.0,,,,
yesterday - remastered 2009,the beatles,help! (remastered),0.332,0.179,5.0,-11.83,0.0326,0.879,0.0,0.0886,0.315,96.529,125.667,475131674.0,42856675.0,475089.0,5938.0,,,,
